blue_win,GoldDiff,MinionDiff,JgMinionDiff,LevelDiff,KillDiff,HeraldDiff,DragonDiff,TowersDiff
1,4215,25,-21,0.2,6,1,-1,2
1,9863,65,19,1,16,1,1,2
0,-3001,-22,20,-0.2,-5,-1,0,-1
1,3290,-39,-20,0,8,1,0,1
0,-11367,-80,-58,-1.2,-11,-1,-1,-4
0,-302,-39,1,-0.2,1,-1,0,-1
1,-3237,-107,-13,0.2,4,-1,1,-1
0,-473,-23,-4,0,-3,-1,-2,0
0,-7449,30,-35,-0.2,-10,-1,-2,-2
0,-1667,9,-34,-0.2,-2,-1,-2,0
1,3437,52,-13,0.2,2,-1,2,2
1,4125,-4,20,0.4,11,-1,1,0
0,-2854,-32,-38,-0.8,-5,1,-2,1
0,6635,38,-25,0.6,7,1,0,3
1,853,0,1,0.4,7,-1,1,-1
1,4595,-4,23,0.6,10,0,1,0
0,-6064,-36,-20,-1,-7,0,0,-1
1,2614,5,-8,0.2,0,1,1,1
0,-2219,42,-57,-0.4,-7,0,-2,0
1,8748,118,-3,1.2,16,-1,-1,2
0,-2029,-15,3,-0.2,-8,-1,-1,-1
1,-3187,-19,2,-0.6,-2,-1,2,-2
0,-3189,-84,-29,-0.8,-6,0,-1,-1
0,-7341,-27,-35,-0.6,-6,-1,-1,-4
0,476,25,-19,-0.4,-2,1,-1,1
1,7637,35,63,1,10,0,2,2
1,3754,-17,2,0.4,5,1,1,1
0,-6666,6,-14,-0.4,-9,-1,-2,-4
0,-4873,-15,-1,-0.4,-7,0,-2,-1
0,-2800,31,3,-0.6,-8,1,0,1
1,1069,-31,0,0.2,3,-1,0,0
0,2183,60,-16,0,-1,1,0,1
0,-1608,-45,-18,-0.8,-1,1,0,1
1,-2847,-22,-28,-0.2,-3,1,0,0
0,-758,-14,25,-0.2,0,-1,1,0
1,2102,23,-7,0.2,1,1,2,2
1,1771,-14,14,0.2,3,-1,2,-1
1,391,-1,13,-0.2,-4,1,2,1
1,10041,78,14,1.8,7,1,2,7
0,-6429,-63,-3,-0.8,-8,0,-1,-1
0,-7523,-83,-22,-1.2,-7,-1,1,-3
0,2360,-29,4,0.2,7,1,1,0
0,-4153,-34,-12,-0.4,-5,-1,0,-2
0,-6316,-48,-22,-1,-10,1,-1,-1
1,7342,-18,-4,0.4,9,1,2,3
1,3749,-15,-11,0.2,9,1,0,1
0,2464,10,11,0.4,1,0,-1,1
1,3380,1,12,0.6,5,1,0,1
0,-12060,-33,-44,-1.2,-20,-1,-2,-3
1,780,41,-12,0.2,3,-1,-2,-1
1,3008,21,-4,0.6,7,1,-1,1
0,-1764,50,-32,-0.4,-2,0,-2,0
0,455,-30,-26,-0.2,2,-1,-1,1
0,-7409,-75,10,-0.6,-10,-1,-2,-3
1,-555,-21,-5,-0.2,3,1,1,-1
0,-10027,-125,-18,-1.6,-14,-1,-2,-2
1,-1577,-1,6,-0.2,-6,1,-2,0
0,-3276,24,28,0.2,-8,-1,-2,-1
0,-6136,-26,-19,-0.6,-13,1,-2,-2
1,-618,9,5,0,-1,1,-2,-1
0,-3029,47,-1,-0.4,-5,1,2,0
1,7532,76,17,1,10,0,0,0
0,-6600,-6,-12,-0.6,-9,-1,1,-2
1,-2453,50,-12,-0.2,-3,-1,1,-1
0,-2967,-45,26,-0.2,-4,1,2,0
0,-5926,-26,-53,-1.2,-7,0,-2,-1
1,9257,65,9,1,10,1,-1,3
0,-2765,-17,13,-0.4,-7,1,1,0
1,1904,49,9,0.2,-6,1,-1,3
1,7278,101,28,1.2,10,-1,1,1
0,-781,-30,-20,0,0,0,0,-1
1,1607,-33,16,0.4,4,-1,2,0
1,5815,0,20,0.4,7,0,2,2
1,9463,51,45,1.4,10,1,1,4
0,-5476,-29,-36,-1.2,-6,-1,-2,-1
0,-6701,-40,-33,-1.6,-6,-1,-2,-2
0,-8695,-40,-24,-0.8,-9,-1,-2,-4
1,106,53,-21,0,1,1,-2,0
0,43,-13,-32,0,-5,0,-2,0
0,-6893,-83,27,-1.4,-7,0,-1,-2
1,-110,33,19,-0.2,-4,1,2,1
1,925,-2,5,0,-1,1,-2,2
0,-4361,-15,-30,-1.2,-8,1,0,0
